SNAPSHOT	DOCUMENTED	COMMIT NOTES
58	NO	luke's first attempt at using cvs  accidentally updated the Makefile  updated the name database structure (again!). this time  there is one name database per local interface. there is also a pseudo-interface on ip 255.255.255.255. its purpose is to store WINS name entries. all the local interface name databases store SELF names only. the WINS name database stores non-special browser names.  added wins.dat file: records WINS entries in ascii format. this is reloaded when nmbd restarts.  added repeating code for response packets. timer is in seconds only at the moment.  updated the response queue code to deal with samba registering with a WINS server a bit better (added more cases when a response isn't received). tidied up the response packet processing code and expire_response_queue() code. added cross references between response received and await-response expired code.  added over-zealous code that checks all machines that register with samba as a WINS server (every 10 minutes i think): to see whether they are still alive or not (see rfc1001.txt)  bug reported by terry@ren.pc.athabascau.ca: DNSFAILed names _stay_ as DNSFAIL  even though the machine may come back up and REGISTER.  removed update_from_reg() function. it's not necessary  and it does too much.  added code that announces on each local interface samba's ttl as zero and servertype as zero when nmbd is kill -TERMed  first attempt at putting the first functionality of samba browsing back in (remote subnets should have samba appear in a workgroup specified through the lmhosts file)  lots of other miscellaneous tidying up / chopping about. 
62	NO	as a result of the writing of namework.doc  namework.c has been tidied up  some bugs fixed / documented and some discrepancies noted down (in namework.c as well as namework.doc)  namebrowse.c and namelogon.c contain functions that were inappropriately placed in namework.c. namebrowse.c contains browse sync queue management functions that were inappropriately placed in namedb.c  the 'cmd_type' member of response_record has been renamed to 'state' because that more accurately reflects it purpose (not entirely. sigh).  fixed a bug in nameserv.c that meant the previous version wouldn't compile.  there's probably a bit more...  lkcl 
71	NO	"tidied up: code shuffling and documentation. created namedb*.c nameservresp.c nameservreply.c and namepacket.c added modules to Makefile  downloading dan's current version first :-) shuffled docs to match source created more docs  fixed bug in announce_backup() discovered when going nameannounce.doc: backup list requests to the master browser should be used when samba is not a master browser; backup list requests to the primary domain controller should be used when samba is not a primary domain controller.  fixed bug in sync_server: it would never send MasterAnnounce packets.  removed the code that ignored special browser names: these should only be ignored (except 0x1b names) when broadcasted name queries are sent  not when directed registration or directed queries are sent samba as a WINS server. (note: exactly what's going on is still uncertain).  renamed NAME_QUERY_MST_SRV_CHK  to NAME_QUERY_PDC_SRV_CHK  (more accurate). renamed NAME_STATUS_MST_SRV_CHK to NAME_STATUS_PDC_SRV_CHK (more accurate).  added secured WINS name registration: a new 'state' NAME_REGISTER_CHALLENGE; functions send_name_response()  response_name_query_register(); added sending of WAIT ACKNOWLEDGEMENT packet; added a reply_to_ip field to the response record structure so that after the name query challenge  you know who to inform of the outcome of that challenge.  note: these are all currently untested modifications (yikes!)  lkcl "
73	YES	sorted out various timer delay bugs: nameannounce.c nameserv.c  namedbname.c:search_for_name() wasn't looking for 0x1b as well as 0x0 and 0x20 name types.  reduced number of retransmissions of packets from 4 to 3 times.  added code that ensures remote lmhosts entries don't get deleted when a master browser cannot be found on a remote subnet. stopped forcing an election on remote subnets if a master browser cannot be found.  stopped browse list and wins list from being written out too frequently.  only add samba's names to local interfaces.  add 0x1c name if we are a domain logon machine (needs more exploration).  why bother reloading services when receiving a SIGTERM?  sort out add_my_name_entry() and remove_name_entry() to deal with broadcast  samba as a WINS and samba using a WINS. properly.  added extra debug information to help with expected response queue code. updated debug comments in become_master().  altered dump_names() DEBUG format. it looks prettier. altered wins.dat format to match DEBUG format.  lkcl 
75	NO	updated docs to match code mods from last two or three updates. done some more commenting of code to match docs.  sorted some bugs.  ipc BOOL domains was uninitialised.  lkcl 
82	NO	"fix up problems with ""smbclient -L"". It now uses a generic NetServerEnum with no workgroup attached if the workgroup is ""WORKGROUP"" (the default in the Makefile) and uses the specific NetServerEnum (with workgroup attached) otherwise. "
87	YES	fix a bug that we've had for a long time where we don't handle EOF properly from clients  and end up looping like mad.  At least I _hope_ this is fixed. 
108	NO	"- added the ""remote announce"" option - made the lp_string() code able to handle any length string - got rid of the obsolete lmhosts code  instead users should use ""interfaces"" and ""remote announce"". lmhosts now is just used as a IP to netbios name map - c"
110	NO	- added support for Amiga-unix (based on BSD I think)  - changed the order of PROGS and SPROGS in Makefile (SPROGS first)  - another 64 bit cleanup (for INADDR_NONE)  - added paranoia code in DirCacheAdd() to detect looping  - fixed important DirCache flu
114	NO	"- made FAST_SHARE_MODES standard for Linux  - you can now press enter after a password prompt with ""smbclient -L hostname"" and it will use a blank username and password  the same as if you used -U%  - changed the wins.dat store code to not go via a string"
117	NO	i wondered why there was a cvs clash on namedbname.c  - redid tridge's fprintf for storing wins.dat  and yet again removed the unsigned long changing it to a unint32.  lkcl 
122	YES	"- fix a bug in NetServerEnum where counted and total were not counted correctly if there were multiple instances of a name. This led to the infamous ""not enough memory"" error when browsing (but this isn't the only cause of that message)  - fix a triple-ch"
141	NO	 =- fixed bugs in nmb response packet checking.  - added multiple workgroup code - samba can register under different   (unique) NetBIOS aliases  one per workgroup it joins.  lkcl
143	NO	removed all of lukes recent changes. I need to do a p2 release but can't test the multi group changes.  I also found that some of lukes changes wiped out some recent bug fixes. Is your CVS tree ok luke? 
153	NO	- a huge pile of changes from Luke which implement the browse.conf stuff and also fix a pile of nmbd bugs. Unfortunately I found it very hard to disentangle the new features from the bug fixes so I am putting in the new code. I hope this is the last big p
154	NO	backout all the changes to nmbd.  The 1.9.16 tree is now back to 1.9.16p2 as far as nmbd is concerned apart from a small change that fixes the announce type in two places. 
156	YES	- changed the umask handling. We now set the umask to 0 and explicitly set the mode on all created files. I think this is a better policy.  - change the debug levels on some items  - fix a charset handling bug which affected foreign and extended charset u
158	YES	"I have fixed quite a few important bugs in this commit.  Luke  can you take special note of the bug fixes to nmbd so you can propogate them to your new code.  - rewrote the code that used to use fromhost(). We now call gethostbyaddr() only if necessary and a maximum of once per connection. Calling gethostbyaddr() causes problems on some systems so avoiding it if possible is a good thing :-)  - added the ""fake oplocks"" option. See the docs in smb.conf(5) and Speed.txt  - fixed a serious bug in nmbd where it would try a DNS lookup on FIND_SELF queries. This caused a lot of unnecessary (and incorrect) DNS lookups to happen. FIND_SELF queries should only go to the internal name tables.  - don't set FIND_SELF for name queries if we are a wins proxy  as we are supposed to be answering queries for other hosts.  - fixed a bug in nmbd which had ""if (search | FIND_LOCAL)"" instead of ""if (search & FIND_LOCAL)"". Luke  this was in nameservreply.c  - the above 3 bugs together meant that DNS queries were being cached  but the cache wasn't being used  so every query was going to DNS  no wonder nmbd has been chewing so much CPU time! Another side effect was that queries on names in lmhosts weren't being answered for bcast queries with ""wins proxy"" set.  - ignore the maxxmit for seconday session setups (see CIFS spec)  - close user opened files in a uLogoffX for user level security (see CIFS spec)  - added uid into the files struct to support the above change "
199	NO	removed getdomainname() stuff and appending a '.' to the name in dns_name_search().  lkcl 
219	NO	Makefile: Changes to split Solaris into Solaris2.3 and previous  and 2.4 and after from Paul Eggert. Makefile: Added AMIGA changes from Rask Ingemann Lambertsen <rask@k4315.kampsax.dtu.dk>. charset.c: Patch for Western European Languages from Josef Hinteregger <joehtg@joehtg.co.at> charset.h: Patch for Western European Languages from Josef Hinteregger <joehtg@joehtg.co.at> clitar.c: Patch to re-sync after read fail from (lost contributor name  sorry). includes.h: Patch for AMIGA from Rask Ingemann Lambertsen <rask@k4315.kampsax.dtu.dk> includes.h: Patch for SunOS atexit by Jeremy (jra@cygnus.com) interface.c: Patch for AMIGA from Rask Ingemann Lambertsen <rask@k4315.kampsax.dtu.dk> kanji.h: Patch for Western European Languages from Josef Hinteregger <joehtg@joehtg.co.at> locking.c: Patch to fix file locking from Jeremy (jra@cygnus.com) locking.c: Patch to add granularity of lock files to usec by Jeremy (jra@cygnus.com) pipes.c: Patch to fix file locking from Jeremy (jra@cygnus.com) proto.h: Patch to fix file locking from Jeremy (jra@cygnus.com) reply.c: Patch to fix file locking from Jeremy (jra@cygnus.com) server.c: Patch to fix file locking from Jeremy (jra@cygnus.com) server.c: Patch for FAST_SHARE_MODE fix from (lost contributor name  sorry). smb.h: Patch to fix file locking from Jeremy (jra@cygnus.com) smb.h: Patch to add granularity of lock files to usec by Jeremy (jra@cygnus.com) status.c: Patch to fix file locking from Jeremy (jra@cygnus.com) statuc.c: Patch to add granularity of lock files to usec by Jeremy (jra@cygnus.com) system.c: Patch for Western European Languages from Josef Hinteregger <joehtg@joehtg.co.at> trans2.c: Patch to fix file locking from Jeremy (jra@cygnus.com) trans2.c: Patch to fix volume name reported to Win95 from Jeremy (jra@cygnus.com) util.c: Patch for Western European Languages from Josef Hinteregger <joehtg@joehtg.co.at> util.c: Patch to fix client_name from continuously returning UNKNOWN (from various contributors). version.h: Update to 1.9.16p10. 
221	YES	locking.c proto.h shmem.c smb.h status.c : Changed shm_ prefixes to smb_shm_ prefixes as shm_ is a POSIX.4 prefix. Updated fd code in FAST_SHARE_MODE code to work with new fd indirection. quotas.c: Fixed #ifdef not on position zero. Jeremy. (jra@cygnus.com). 
235	YES	Removed YOST code. Removal of leading ./ chars should be done in unix_clean_name in util.c jra@cygnus.com 
237	YES	Replaced YOST code with more functionally equivalent code that changes a bit less. Also added fix to tricky reply_mv case. jra@cygnus.com 
240	NO	Fixed problem with renaming folder on top level share. jra@cygnus.com 
242	YES	"Makefile: Added cleandir target. chgpasswd.c: Added patch from Roland Haag <haag@think.de> to allow              password changes to be done more than once. loadparm.c: Added entries for the ""directory mode/directory mask parameters"".             Changed default file mode to 644. proto.h: Added sys_gethostbyname. server.c: Added directory mode changes. system.c: Added sys_gethostbyname. trans2.c: Added NT_FILE_ATTRIBUTE_NORMAL patch from Roger Orr           <rorr@csfp.csfb.com> trans2.h: Defined NT_FILE_ATTRIBUTE_NORMAL for above patch. util.c: Changes calls to gethostbyname to sys_gethostbyname. jra@cygnus.com "
250	NO	"1) updated ipc.c NetUserGetInfo - load \\%L\%U instead of \\%L\HOMES    because the share must be browseable by a w95 client  2) send_mailslot_reply - unique or group datagram argument added.  3) netlogon.c - rewrote response packet to do the right thing for w95.  4) server.c reply_nt1() - added OEMDomainstring to the end.  5) (deep breath) reworked the nmbd-browsing code a little bit.    i discovered two months ago that becoming a primary domain controller    (and domain master browser) is done independently of becoming a    backup domain controller (logon server) is done independently of    becoming a local master browser.     therefore  three sets of state-machines (instead of just one) are in    place - each of which is responsible for taking samba through the    required stages to become:  a logon server; a domain master browser;    and a local master browser.     each of these three things can occur independently on each interface     _including_ the wins pseudo-interface.  the only slight caveat is that    the wins pseudo-interface  by virtue of _not_ being a broadcast    interface  does _not_ register as a local master browser with the wins    server  as this doesn't make sense.  lkcl "
267	YES	added automount home directory support.  contributed by simeon@bangor.co.uk and a mini bug-fix by rob.nacarrato@sheridanc.on.ca  reads in an entry from the auto.home file for the user when they log in  and mounts their home directory as the default path for the [homes] service.  i might add this as to the %substitution system  so that you can specify subdirectories for the user profiles  mainly.  lkcl 
268	NO	'The mother of all checkins' :-). Jeremy Allison (jallison@whistle.com) Wed May  7 1997: Update for 1.9.17alpha1 release - 'browsefix release' designed to make browsing across subnets work.  byteorder.h:
272	NO	dir.c:
287	NO	Makefile:
297	YES	Fixed compile warnings for FreeBsd & Linux. Jeremy (jallison@whistle.com). 
301	NO	Makefile:
317	NO	charset.c:
343	NO	Makefile:
346	NO	Kanji fixes for upper/lower case conversion with sjis characters. Code from Takashi Fujita <fujita@ainix.isac.co.jp>. Jeremy (jallison@whistle.com) 
358	NO	Makefile:  New program and support for dynamic codepage loading. charset.c: Dynamic codepage loading code. charset.h: Defines for file format. proto.h:   Updated. Jeremy (jallison@whistle.com) 
378	YES	"This commit does 3 main things:  1) put the encryption code in by default  with no #ifdef. It is still disabled by default so you need to add ""encrypt passwords = yes"" in smb.conf but at least all binaries will have it.  2) cleanup the kanji code so it compiles with no warnings  3) get rid of lots of uses of ugly non-portable C code. The main offender being things like ""register"" but also remove uses of the ""const"" keyword as there are compilers out there that don't support it and even those that do often complain about its usage. Users don't like warnings :-(  There is still some work to do. We need to replace the md4 code with our own implementation. The current code (from rfc1186) is PD but is not very portable. The new RFC (rfc1320) is more portable but adds copyright restrictions. I'll do a from-scratch MD4 soon.  We also need to test that what I've implemented is portable. It should be  but I'm too tired right now to test it on anything other than intel linux. "
379	NO	no longer needed 
380	YES	rewrote md4.c from scratch. This implementation should be portable and doesn't have any worries about RSA copyright. 
396	YES	Checkin to sync up oplock development code so that NT domain development code won't diverge.  Makefile: Fixed make proto (again). Added GLIBC2 fixes for Linux. includes.h: Added GLIBC2 fixes for Linux. proto.h: Much tidier. quotas.c: OSF/1 quota fix. reply.c: Fix from Ray Frush <frush@engr.colostate.edu> for zero NT timestamps. server.c util.c: First oplock checkin - nowhere near finished so bracketed with #ifdef USE_OPLOCKS. Done to make sync with NT domain code easier. Jeremy (jallison@whistle.com) 
397	NO	Makefile: Removed earlier errors. includes.h: Added INADDR_LOOPBACK define. locking.c: More code to support oplocks. proto.h: Updated. server.c: More code to support oplocks. Moved processing of an SMB out of process() into a separate function so it is easier to call from an oplock break. smb.h: Added oplock fields. Jeremy (jallison@whistle.com) 
399	NO	Adding Andrews buffer overflow fixes into the main branch. Jeremy (jallison@whistle.com) 
400	NO	Correctly rolled back interface.c (I was working on an older revision). This will now be the current revision. Jeremy (jallison@whistle.com) 
403	NO	dir.c: more pstrcpys. local.h: Add OPLOCK_BREAK_TIMEOUT. password.c: Fix for paranoia password server security bug. proto.h: Updated. reply.c: Oplock changes. server.c: Massive oplock changes - nearly there.... smb.h: oplock definitions. util.c: Add local message processing queues for oplocks. Jeremy (jallison@whistle.com) 
427	NO	"lsaparse.c smb.h: added 32 bit ""return status"" to the response structures. "
435	NO	I rewrote the name_mangle() and name_len(). The interface is the same  but I've simplified the code a bit and added a few comments.  I tested the changes and the output is the same as that produced by the original (at least  it was in all of my tests).  CRH 
436	NO	ipc.c: Added ERROR_MORE_DATA error if client buffer too small. server.c: Allow admin_user on read only shares. I think this is safe but it needs looking at. Jeremy (jallison@whistle.com) 
441	NO	added a dummy function (space in front so make proto doesn't pick it up) to call the unused static functions in pipes.c.  avoids need to move #if UNDEFINED_NTDOMAIN about  to stop compiler warnings while code is being developed  but might be released as-is. 
449	NO	added #ifdef NTDOMAIN.  added call to api_ntLsarpc instead of api_Lsarpc in ipc.c iff NTDOMAIN is defined. 
454	NO	After generating some discussion  listening to the opinions  and thinking about it for a while  I've decided to move the tree & list code into a separate subdirectory. 
456	NO	Makefile:  
457	NO	ipc.c :  
461	NO	namelogon.c :  
466	NO	getting somewhere.  ipc.c :  
468	NO	byteorder.h :  
473	NO	split pipes.c down into util  netlog and ntlsa. 
486	YES	fixed a stack overflow bug in api_lsa_req_chal()  changed the order of arguments to smbhash() in credentials.c. Luke  when you changed from E1() to smbhash() you didn't notice that the arguments are in a different order. This is why your new code was failing.  NT logon still fails  but now gets to SAMLOGON. It shouldn't take much to get it working now. 
520	NO	move calls to smbhash() inside smbdes.c (for legal reasons) 
521	NO	I am removing these from the source code in preparation for an upcoming 1.9.18alpha release. We can't release with this code in there as it currently stands as it might breach ITAR export restrictions in the US.  I've discussed ways around this with Jeremy and we can put the code back in with appropriate modifications once it is needed.  Note that this code isn't actually used in Samba yet  so removing it has no effect.  If anyone wants the code then look in ~samba-bugs/arcfour/ or grab it from the CVS attic. 
522	NO	casting cleanups 
523	YES	a major share modes reorganisation.  The shares modes code is now split into separate files. The shared memory implementation is in locking_shm.c. The slow implementation is in locking_slow.c  It is all controlled by a struct share_ops structure that has function pointers to the implementation of all the functions needed by a share modes implementation. An initialisation function sets up this structure. This will make adding new implementations easy and clean.  This also allowed me to get rid of the ugly code in smbstatus. Now status.c links to the locking code and calls methods in share_ops.  I also renamed some things and generally organised things in a much cleaner fashion. Defines and structures specific to each implementation have been moved to the appropriate file and out of smb.h. 
524	YES	util.c password.c :  
530	YES	rewrote the password server code using the new clientgen.c client interface  The new code uses a source netbios name equal to the Samba servers name  not the client name. It also uses NetWkstaUserLogon to do a full network logon. This means it will honour the servers logon restrictions (such as login times etc). 
545	NO	Makefile client.c clientutil.c clitar.c nmbsync.c :  
554	NO	nterr.c :  
559	NO	Makefile :  
565	NO	The browse synchronisation code in nmbsync.c now uses the clientgen.c code  which means we don't have to link with a fake getpass routine and we don't have a whole pile of global variables that really have nothing to do with nmbd and were there to keep the client code happy.  The code should function identically to what it did before (hopefully it was correct)  The only thing that now uses the horrible clientutil.c code is smbclient. 
571	YES	change the default file permissions on the SHARE_MEM_FILE* to 0644. smbstatus now gets only read permission on the share files and does no locking.  also get rid of some unnecessary umask(0) calls. smbd always runs with umask(0) 
581	YES	SYSV IPC implementation of fast share modes.  It will try sysv IPC first  then if that fails it will try mmap()  then after that it will try share files.  I have defined USE_SYSV_IPC for Linux  Solaris and HPUX at the moment. Probably a lot more could have it defined. In fact  the vast majority of systems support it. Need autoconf again :-)  It should actually be faster than the mmap() version  and doesn't need any lock files. This means the problem of the share mem file being on a NFS drive will be gone. 
599	NO	split ntclient.c down into appropriate modules. 
621	NO	blanked out these files  so that if someone does make proto  they don't interfere with the files in the rpc_pipes/ directory.  andrew doesn't want to lose any cvs history by moving files around  so he's going to look into that tomorrow. 
645	YES	a simple SMB torture tester. This will allow us to evaluate locking techniques more accurately. 
647	NO	client.c clientutil.c proto.h rpc_pipes/ntclientlsa.c rpc_pipes/ntclientnet.c rpc_pipes/ntclientpipe.c :  
654	YES	convert the credentials code back to uchar[8] from uint32[2]  This should fix the byte order problems (maybe!) 
657	YES	"Christian Lademann's contribution:  new capabilities in smb.conf.  '<' and '|' characters indicate read file and execute command respectively  and feed the output into the parameter (!!!).  '<$' and '|$' means run standard_sub_basic() on them.  this is going to be fun to document in smb.conf.5....  also  Christian created a new ""online"" service parameter.  services can be taken ""off-line"".... "
660	NO	Rolling back the files loadparm.c : to equivalent to version 1.67 reply.c : to equivalent to version 1.69 server.c : to equivalent to version 1.122 util.c : to equivalent to version 1.98  to remove the incorrect changes.  proto.h: The usual.  rpc_pipes/smbparse.c : Backeting stuff that SHOULD NOT BE IN THE                        none-NTDOMAIN build !  Jeremy. 
673	NO	following a cvs error  i am rewriting this monster-commit.  with bad grace.   Modified Files: 
682	NO	byteorder.h :  
683	NO	Rolled back tree state to 11:59pm 8th November 1997 EST to remove problems. Jeremy 
704	NO	this new cgi code includes the ability to act as a mini web server  allowing people to use web configuration of Samba without installing a web server 
711	NO	get rid of stat command (it is a hangover from an old experiment) 
740	NO	slight cleanup to the linked list handling 
743	YES	got rid of the WRAP_MALLOC code - mem_man does it better 
753	NO	This is it ! The mega-merge of the JRA_NMBD_REWRITE branch back into the main tree. For the cvs logs of all the files starting nmbd_*.c  look in the JRA_NMBD_REWRITE branch. That branch has now been discontinued. Jeremy. 
769	YES	client.c: clientgen.c: clientutil.c: clitar.c: Changed usage of receive_smb to new function client_receive_smb           except for one use of receive_smb in client.c. This is the           receive_smb used to discard packets received whilst in a           keyboard wait state. util.c: Created new function client_receive_smb that ignores session         keepalives just as the old receive_smb used to do. Created         internal function read_smb_length_return_keepalive that is         used internally by the changed receive_smb call.         Changed read_smb_len to not use an internal buffer - it is         never called with a null buffer so such code is redundant. Jeremy. 
775	YES	Backed out changes that attempted to address a pointer array using -1 0 1. Jeremy pointed out that there might be problems with this.  Darn shame. 
801	YES	docs/Support.txt: Removed consultant. source/Makefile: Added Volker's comment. source/nmbd_become_lmb.c: source/nmbd_browsesync.c: source/nmbd_incomingdgrams.c: Fixed userdata alignment problems. source/mem_man/mem_man.c: source/mem_man/mem_man.h: added smb_ prefix to stop namespace collisions. Jeremy. 
847	NO	*** empty log message *** 
852	YES	Fixed warnings with gcc (assignments inside if statements). Jeremy. 
862	YES	"A small raft of changes  I will sync up with 1.9.18 also. chgpasswd.c: Fixed typo in debug message. includes.h: Fix include for aix. kanji.c: Added cap_to_sj as inverse of sj_to_cap. loadparm.c: local.h: password.c: Added code for ""networkstation user login"" parameter. - patch from Rob Nielsen <ran@adc.com>. printing.c: Added further aix printing fixes. reply.c: Changed access time fetch to a function. trans2.c: Changed access time fetch to a function. time.c: Changed access time fetch to a function. server.c: Made NT redirector workaround final. util.c: Added debug for write_socket failing. Jeremy. "
874	NO	Code to work around a bug in FTP OnNet software NBT implementation. They do a broadcast name release for WORKGROUP<0> and WORKGROUP<1e> names and *don't set the group bit*.  Jeremy. 
878	NO	Change the multibyte character set support so that Kanji support is one case of multibyte character support  rather than being a specific case in single byte character support.  This allows us to add Big5 Chinese support (code page 950) and Korean Hangul support (code page 949) at very little cost. Also allows us to easily add future multibyte code pages.  Makefile: Added codepages 949  950 as we now support more multibyte codepages. asyncdns.c: Fixed problem with child being re-spawned when parent killed. charcnv.c charset.c client.c clitar.c kanji.c kanji.h smb.h util.c loadparm.c: Generic multibyte codepage support (adding Big5 Chinese             and Korean Hangul). nmbd.c: Fixed problem with child being re-spawned when parent killed. mangle.c: Modified str_checksum so that first 15 characters have more           effect on outcome. This helps with short name mangling as           most 'long' names are still shorter than 15 chars (bug was           foobar_mng and foobar_sum would hash to the same value  with           the modified code they hash differently. Jeremy. 
881	NO	 Jeremy is going to hate me ...  These are some hacks on SWAT. Maybe users will actually be able to work out how to use it now.  Unfortunately these changes required some editing in loadparm.c and smb.h which will make Jeremys merge job harder. Sorry! 
884	NO	added Date and Expires headers in the mini web server so clients know what they can cache. 
887	NO	Updates to all of these base level modules. Trees: Previously  the AVL node type was different than the node type used        in the BinTree and SplayTree modules.  It requires an additional        field to maintain AVL balance information.  I merged that field into        the base type (in ubi_BinTree.h) so that all three use the same        node type.  On most systems this will have zero effect on the node        size  due to word alignment.  The change allowed me to remove a        bigbunch of redundant code  which makes the AVL module smaller and        cleaner. Linked Lists:  I combined ubi_StackQueue into ubi_sLinkList.  The interface        has changed a tiny bit.  I added macros to ubi_dLinkList to round        it out a bit.  I have verified that the few Samba modules that use these tools (so far) do not have any problems with the changes.  Chris -)----- 
890	YES	For I have laboured mightily on Luke's code  and hath broken all I saw - the book of Jeremy  chapter 1 :-).  So here is the mega-merge of the NTDOM branch server code. It doesn't include the new client side pieces  we'll look at that later.  This should give the same functionality  server wise  as the NTDOM branch does  only merged into the main branch.  Any fixes to domain controler functionality should be added to the main branch  not the NTDOM branch.  This code compiles without warnings on gcc2.8  but will need further testing before we are sure all the working functionality of the NTDOM server branch has been correctly carried over.  I hereby declare the server side of the NTDOM branch dead (and all who sail in her :-).  Jeremy. 
895	NO	these have been replaced by swat 
896	YES	use password_ok() instead of calling crypt() 
898	NO	moved cgi.c and swat.c into a source/web/ directory. Note that you won't see a cvs add in the web directory or these files as I added them by directly copying in the repository. This keeps the history of the files intact. 
907	NO	added the ability to start/stop the server from SWAT.  I needed to modify the way the pidfile is handled in nmbd and smbd to do this. Jeremy  you may wish to look at what I've done as it probably breaks the Whistle use of pidfiles. In particular I've removed the -f option and instead smbd and nmbd always create a pidfile in the lock directory. 
911	YES	 =- added the ability to kill off individual connections from SWAT (from   the status page) - split the claim_connection() code into its own file - fixed the claim_connection() code to lock the file when manipulating   it - always claim a null connection at startup - fixed a bug in the pidfile code
930	YES	Adding the same changes to HEAD as were added to BRANCH_1_9_18.  Changed smbpasswd to be client-server for a normal user  rather than accessing the private/smbpasswd file directly (it still accesses this file directly when run as root  so root can add users/change a users password without knowing the old password).  A shakeout of this change is that smbpasswd can now be used to change a users password on a remote NT machine (yep - you heard that one right - we can now change a NT password from UNIX !!!!!).  Jeremy. 
936	YES	clientgen.c ipc.c smbpasswd.c: Fixes for warnings (from Herb). quotas.c: Linux quota fix. util.c: Ensure smb_read_error is zero in all calls that can set it. lib/rpc/include/rpc_misc.h lib/rpc/include/rpc_netlogon.h lib/rpc/parse/parse_misc.c lib/rpc/parse/parse_net.c lib/rpc/server/srv_netlog.c : Modify Luke's code to call SamOEMhash().  Jeremy. 
943	NO	nameconf.c is a stray .c file that shouldn't be in the distribution. It's a left over. Jeremy. 
946	YES	client.c: Fixed problem where debug level on command line was overridden by smb.conf. smbpasswd.c: Removed bugs I put in yesterday (thanks Luke :-) and added error message reporting for remote password changing. Jeremy. 
968	YES	I removed a static string that was in there because I planned to do something with it some day.  It was causing gcc to cough up warnings (not serious ones  mind you).  Don't worry... It will be back! Chris -)----- 
981	YES	Changes to allow Samba to be compiled with -Wstrict-prototypes with gcc. (Not a big change although it looks like it :-).  Jeremy. 
982	YES	"Changes include:  proto.h:  The unusual.  ;) reply.c:  I changes some function names  and updated reply.c to match.           See mangle.c below for more. server.c: Changed function names and parameters in file mangle.c  so           changed server.c calls to match.  See mangle.c below for more.  mangle.c:    I replaced the caching mechanism used for caching reverse mangled name   maps.  The old method was a large array of 256-byte strings.  Movement   in the stack (including push and pop) was done by memcpy()ing whole   chunks of memory around.    The new system uses the ubi_Cache module which  in turn  uses a splay   tree.  Entries are dynamically allocated using a minimum amount of   memory.  Searches are non-linear  which should speed things up a bit    too.  Overall  this should save memory and be faster.    Other changes:  I streamlined the is_mangled() test and made other   speed enhancements including replacing some static functions with   macros.  Added comments  etc.  Note:  Per an E'mail conversation with Andrew  the 'mangled stack'        parameter in smb.conf doesn't do anything anymore.  The cache is        now set for 16K bytes maximum memory usage.  The mangle stack        parameter is silently ignored.  This can easily be changed  but        I'd rather introduce a 'mangled cache memory' parameter and        remove 'mangled stack'.  Remaining problems:        While testing the module  I noticed that something is calling        name_map_mangle() twice.  The result is that names which contain        illegal characters are getting mangled twice.         Also  the entire module works by overwriting the input string.        This has a variety of nasty side effects.  Summary:    There's a lot still to be done  but the changes I have in place *should*   work in exactly the same way (except for the mangle stack parameter).   The rest of the bugs and other issues are separate.  Chris -)----- "
986	YES	ipc.c: Fix for printer queue spinning with Win95. nmbd.c: Fix for always overwriting log despite append setting. smb.h: Addition of last time password changed entry to account info. smbpass.c: Changes to support last time changed field in smbpasswd file. smbpasswd.c: Changes to support last time changed field in smbpasswd file. util.c: Fix for always overwriting log despite append setting. Jeremy. 
