SNAPSHOT	DOCUMENTED	COMMIT NOTES
851	NO	"fix swapfileno wierdness with 'SwapOutStartComplete'  just set e->swap_file_number instead of using some intermediate variable. Remove storeDescribeStatus() Make storeSwapInStart() global Simplify storeLockObject(); make someone call storeSwapInStart() if thats what they want. "
878	NO	mostly done inlining all FTP requsts 
882	NO	remove ftpProcessReplyHeader 
918	NO	Mucking about with storeAbort.  Removed squid_error_entry() (need to replace it later!) and just call storeAbort directly now. 
925	NO	clean up access logging  remove lots of Cacheinfo garbage Need to relocate enums to an enums.h file  too many other wierd dependencies. 
930	NO	Max Okumoto configuration file patch.  Config goop will be generated from a single file.  Still needs work. 
931	YES	HAVE_SNPRINTF check 
934	NO	Support for Cache-Control: proxy-revalidate.  From squid-1.1.x patch by Mike Mitchell <mcm@unx.sas.com> 
936	NO	finish mega config hacking on kite 
944	YES	default_all() needs to copy input lines to static memory.  this also lets us fake config_lineno. other misc fixes 
959	NO	successful compile after merging 1.1.10 thru 1.1.14 
974	NO	Started internal icon support 
975	YES	"fix some parsing.  Needed regular 'parse_size_t' different than one for parsing ""bytes"" spec. Also fixed initialization for sendSignal() "
983	NO	mostly working customizable error messages.  lots of blanks to fill in though 
1004	NO	Configuration cleanup. 
1012	NO	Started integration of Proxy Auth ACL patch from Arjan De Vet and others. 
1016	YES	Changed most of sprintf() to snprintf(). 
1017	YES	This snprintf() supports all sorts of conversions (%f  %x.ys etc) 
1022	NO	Error page triggering. ip cache documentation. 
1098	NO	poll() workaround for linux by Oskar Pearson 
1102	NO	remove commented-out storeAppend call 
1110	NO	enhanced client with 'ping' behaviour. (Ron Gomes) 
1125	NO	- Removed IP_BLOCKING_LOOKUP and FQDN_BLOCKING_LOOKUP flags.  All DNS   lookups must now be non-blocking. - Don't queue something to a dnsserver if it is DNS_FLAG_CLOSING. - Call an IP cache entry expired if addrs.count == 0. 
1182	NO	fix up includes and defines 
1194	YES	Fixed snprintf() bug and cleaned up prototypes 
1200	YES	LINT 
1211	YES	remove old  unused cruft 
1217	YES	Added ``SLASH_HACK.''  If CWD to the first directory fails  then try it again with a slash in front. Removed some unused code 
1251	NO	kostas initial snmp support 
1256	NO	gindent 
1261	NO	Further SNMP cleanup... 
1269	NO	Henrik's massive FTP fixes and other minor changes 
1297	NO	move POLLRDNORM hack from config.h to squid.h 
1313	NO	make SNMP code #ifdef-able  including config parsing 
1329	NO	remove old snmp_config.h 
1348	NO	moved options from Makefile to options.h 
1353	NO	INITIAL URN SUPPORT by Kostas 
1354	NO	"Moved URN->URL resolution over to ""server-side"" Now we always generate an HTML list of the possibilities.  IF we get a 'minimum RTT' site  then we'll add a 'Location' reply header and the user-agent should fetch it automatically. "
1376	YES	Aligned to squid coding practice (xfree/xmalloc etc) 
1381	NO	ASN cleanup 
1423	YES	code cleanup+security (sprintf->snprintf) 
1441	NO	"From:    ""Jean-Claude MICHOT"" <jcmichot@teaser.fr> Fixes for QNX  mostly related to sscanf(). "
1458	NO	From:    Arjan de Vet <Arjan.deVet@adv.IAEhv.nl> Year-2000 (Y2K) fixes 
1476	NO	
1482	NO	From:    Henrik Nordstrom <hno@hem.passagen.se> Squid-1.2.beta11: Support for NLST listings       Format NLST listings  and inform the user that the NLST       (plain) format is available when we find a LIST listing       that we don't understand. Squid-1.2.beta11: SIZE on binary FTP transfers       Use SIZE on Binary transfers  and not ASCII. The condition       was inversed  making squid use SIZE on ASCII transfers. Squid-1.2.beta11: Enable virtual and Host: based acceleration in       order to be able to use Squid as a transparent proxy without       breaking either virtual servers or clients not sending Host:       header the order of the virtual and Host: based acceleration       needs to be swapped  giving Host: a higher precendence than       virtual host. Squid-1.2.beta11: Use memmove/bcopy as detected by configure       Some systems does not have memmove  but have the older bcopy       implementation. 
1486	NO	STORE.C SPLIT Also made MD5 cache keys standard 
1489	NO	Started working on swap headers and meta data.  I changed the Get/Add routines to something which Packs/Unpacks the whole buffer to/from a linked list of TLV structures.  The hard part now is that the swapin and swapout routines most certainly need to be modified to have special read/write meta header code. 
1491	NO	Fixed swap meta for store_swapin.c and store_swapout.c Create store_log.c Made file_write() void Other misc I'm sure 
1493	NO	- Changed swap.state to be binary - Added Stew's transaction logging to storeDirSwapLog(). - Munged store_rebuild.c to support rebuilding one cache_dir from   swap.state  and another from walking the directory. 
1494	NO	make storeDirWriteCleanLogs write binary swaplog 
1501	NO	set USE_UNLINKD depending on USE_ASYNC_IO 
1510	YES	use xmemcpy and xstrncpy 
1511	YES	use xstrncpy 
1512	YES	renamed ->free to ->free_func to avoid conflicts use xstrncpy 
1516	YES	use xfree 
1529	NO	store dirty rebuild fixes 
1543	NO	Merge unlinkdInit() and unlinkdCreate().  keep unlinkd->squid FD in a variable and close it in unlinkdClose(). 
1547	NO	Merged fdstat.c into fd.c 
1548	NO	debug section cleanup 
1605	NO	use duplicate accessLogTime function from access_log.c 
1612	NO	Dirty and buggy alex_2. 
1619	NO	Snmplib for squid  based on v1.8  heavily changed 
1620	NO	Updated to cmu v1.8 + coded almost from scratch 
1621	NO	Corrected snmp includes 
1622	NO	*** empty log message *** 
1624	NO	new squid-independent cachemgr.cgi 
1657	NO	"- Fixed(?) time-tick bug in stat.c. StatCounters where copied in a wrong way   resulting in using the same set of pointers in two objects. - Added Squid ""signature"" to all ERR_ pages. The signature is hard-   -coded and is added on-the-fly. The signature "
1660	NO	Spread HttpHeader.h among .h monsters. 
1666	NO	gindent 
1678	YES	Changed realloc to xrealloc. 
1679	YES	realloc + bugfix etc 
1680	NO	update 
1686	NO	"- Table related bug fixes - ""Heading\t\t"" is now interpreted as ""<th columnspan=2>Heading</th>"" - use ""Heading\t \t"" to get an empty column. "
1691	NO	- Removed MemPool files (now in src/Mem.c) 
1696	NO	support for multi-addressed neighbors 
1703	NO	removed lots of alex #if 0 code 
1723	NO	WIP 
1728	NO	 =- fixed a bug that prevented some tables from being displayed. We did not   close a <Table> if there were no text after it.
1730	NO	"- Added memory pools for variable size objects (strings).   There are three pools; for small  medium  and large objects. - Extended String object to use memory pools.  Most fixed size char   array fields will be replaced using string pools. Same for most "
1735	YES	- Removed OLD_POST_CODE #define from squid.h 
1786	YES	"removed unused code; updated comments; formatting "
1789	NO	SNMP changes/fixes 
1851	NO	progress 
1859	YES	- fixed hash memory leaks from Proxy Auth ACL stuff - Moved common hash list free routines to hashFreeItems() - removed hash_insert() and hash_delete() - renamed hash_unlink() to hash_remove_link() and removed 'freelink' arg 
1913	NO	 =- Removed calls to httpHeaderTestParser() - Removed lrand48() from httpHeaderTestParser()
1919	NO	Changed squid/dnsserver communication to single-line replies.  Removed all the unused cruft. 
1923	NO	- default SQUID_MAINTAIN_CACHE_DIGEST to 1 
1938	YES	"- added routines to create ""internal"" urls - replaced snprintf() calls that created ""internal"" urls - host name is converted to lower case for all local internal urls now    not just icons "
1953	NO	"- new urlpath for store_digest (""/store_digest""); - all rewrite activity is now done after store_rebuild - htons stuff for digest control block in storeDigestCBlockSwapOut - digest control block now contains some data "
1957	NO	- tmp changed defaults of SQUID_MAINTAIN_CACHE_DIGEST and SQUID_PEER_DIGEST   to 0 
1985	NO	move CACHE_DIGEST defines from squid.h to configure.in 
1999	NO	minor squid-internal URL cleanup  but no bug fixes 
2113	NO	reworking squid-internal namespace and functions 
2140	NO	From:    Henrik Nordstrom <hno@hem.passagen.se>  Here is a polished and updated test suite a bit..  * pconn-banger reports a throughtput report  like tcp-banger2 * both tools include support to validate size and a simple checksum * A couple of pconn-banger bugs fixed. * Wrote a small perl script that joins a URL list  and a size-checksum report from tcp-banger to a combined list (needed to use the validation feature).  Syntax for URL lists is eiter plain 1 URL/line  or METHOD URL [Request-File|-] [size checksum]  The tools can send HTTP requests with any method or request-body  but they do not (yet) support HEAD replies. 
2151	NO	"        - Added binary http headers to requests         - request_t objects are now created and destroyed in a consistent way         - Fixed cache control printf bug         - Added a lot of new http header ids         - Improved Connection: header handling; now both Connection and           Proxy-Connection headers are checked         - Connection request header is now handled correctly regardless           of its position and the number of entries         - Better handling of persistent connection ""clues"" in HTTP headers         - Removed handling of ""length="" directive in IMS headers;           the directive is not in the HTTP/1.1 standard;           standing by for objections         - allowed/denied headers are now checked using bit masks instead of           strcmp loops         - removed Uri: from allowed headers; Uri is deprecated in RFC 2068         - removed processing of Request-Range header (no in specs?)  note: binary headers for requests are not completed: "
2182	NO	henrik wants more complaints about creating directories 
2222	NO	Henrik PUT/POST fix 
2242	NO	- removed ascii headers from reply and request structures - added more http headers - fixed content of entity-headers array - do not update headers with 304 that are not allowed by HTTP/1.1 - moved routines common for request and replies to HttpMsg.c - re
2247	NO	unportable initialization 
2260	NO	hardening 
2261	YES	compiler warning 
2263	NO	debug 
2267	YES	"- Replaced ""complex"" (offset accounting) calls to snprintf() with MemBuf. - cleanup "
2290	NO	" =- renamed proto.c to forward.c - Connection establishment Now done in forward.c; this is the first step   to more significant changes in being more persistent in forwarding   requests. - Removed most *ConnectDone() functions - Split whois code out of asn.c and into whois.c"
2295	YES	- added -r option to generate random Range requests. Ranges break   Content-length checks so the checks are disabled with -r option. 
2370	NO	removed some OLD_CODE 
2398	NO	pretty major rewrite.  Previously we wouldn't read from a socket again until the previously read chunk had been fully written to the other side.  Now we read ahead on both sides  moving unwritten chunks to the beginning of the copy buffers.  This also has consequences for the closing sequence.  When either side closes  we are supposed to write any pending data to the other side and then close the other side as well.  The code is now more symmetric  but has to include all these ugly checks for valid filedescriptors. 
2410	YES	remove UNUSED_CODE 
2503	NO	try again to disable assert under purify 
2509	NO	Luyers finished delay pools patch 
2534	NO	external proxy_auth code from Arjan 
2553	NO	 =- patched ACL ARP code so It works on Linux (Luyer) - Wrote ACL dump functions for use with SPLAY trees.
2568	YES	use dynamic allocation for request->url 
2591	NO	Added resp_hdrs  entity_hdrs  cache_hdrs in TST HIT replies 
2633	YES	Removed 'method bits' hack from ICP query/reply.  This will break interoperability.  Instead the ICP server treats all queries as METHOD_GET.  The ICP client code  however  uses an array of the most recent 8192 keys sent in ICP queries.  The reqnum is an index to this array  so we can look up the key for an ICP reply easily.  Also changed storeKeyPublic and storeKeyPrivate to NOT use snprintf  but just pass integers 'id' and 'method' directly to md5update. 
2705	NO	Modified to remove and add some groups. 
2708	NO	Removed SNMP code. 
2740	NO	Moved many common dns/redirect/authenticate functions into helper.c 
2751	YES	fix potential buffer overrun and negative array index bugs 
2754	NO	allow whitespace in request URI's. 
2788	NO	Squid SNMP code rewrite 
2789	NO	2.1 branch merge 
2793	NO	Making squid more a of a true daemon process 
2796	NO	2.1 merge 
2907	NO	2.1 branch merge and gindent 
2962	NO	luyer's mega delay pools rewrite -- without ugly delayPoolsReconfigure() 
2982	NO	command line option to specify local socket address 
2987	NO	initial working implementation of internal DNS! 
2995	NO	SQUID_2_2 branch merge 
2997	NO	Added rfc1035BuildPTRQuery()  Changed rfc1035AnswersUnpack() to unpack DNS names into character buffers so that the upper layers don't have to.   This is the switch statement inside that function that exectues different copies based on the record type. 
3012	YES	- removed silly restriction that all memory pools are initialized   in memInit() - Added MEM_EVENT - Fixed eventRun() bug that exited the run loop upon finding an event   with invalid callback data.  This also most certainly leaked event   structures. - a
3039	NO	split a bunch of FS-dependent stuff from store_dir.c into store_dir_ufs.c  but its probably not really enough. 
3070	YES	massive store filesystem reorganization.  Removing hard-coded hooks for UFS storage and using function pointers instead.  Yummmm... 
3092	NO	GRE code removal  allow it to be done in the kernel 
3125	NO	Now works with multiple caches 
3131	NO	2.3 branch merge 
3143	NO	merge changes from SQUID_2_3 branch 
3155	NO	DW  - User-Agent is taken from HTTP request headers.  It seems silly    to make it a special case in aclCheck_t and aclCreateChecklist.    Now acl.c just gets it from request->headers when needed. 
3229	YES	hno squid-2.3.STABLE1.http_reply_null_character.patch Squid-2.3.STABLE1: Handle NULL characters in the server reply headers  Squid failed to detect the end of the servers HTTP headers if the server wrongly responds with headers containing a NULL character. This could cause abnormal amount of used cache_mem during the request. (the server in question was mp3 streaming  virtuallu unlimited in size) 
3234	NO	  MODIO_1 commit. This change (including documentation) implements a more modular storage directory system  which leaves object replacement and IO up to the storage modules.  There is a lot of repeated code in the FS modules and some tidying up is in the pipeline.  The documentation for this new API is in doc/Programming-Guide/prog-guide.sgml . 
3246	NO	DW:  - Synced HEAD with SQUID_2_3 branch as of SQUID_2_3_STABLE3.  Can't    say it was fun.  I wouldn't be surprised if some conflicts got    resolved incorrectly. 
3255	NO	DW:  - Added copyright to .c files  but this copyright text is still    wrong.  It has 1998 and squid.nlanr.net. 
3258	YES	DW:  - Use xstrncpy instead of strcpy. 
3279	NO	Corrected --disable-unlinkd. It didn't correctly parse the arguments and always enabled unlinkd..  Excended the makefile trickery used for --disable-unlinkd to also apply to dnsserver and pinger. Now no helpers are built or installed unless requested.  Note: The makefile trickery will probably fail on old UNIX:es if no helpers are to be installed. Need to find a way to test if a variable contains anything else besides whitespace.. Workaround: Don't use --disable-unlinkd or use --disable-internal-dns. 
3329	NO	DW:  - Added alarm() timeouts for read() and write().  The default value    is 120 seconds  but configurable with -T. 
3343	NO	"DW:  - This patch makes a fundamental change to the FQDN cache internals.    Before  FQDN entries could be in the hash (i.e. public) and in    a pending state.  Additional lookup requests for an entry in the    pending state would be joined to the pending entry.  Thus  we would    only bother the DNS server for one lookup even if many clients were    interested in it.  The problem is that if one lookup got ""stuck"" for    some reason  many clients would be blocked.     Now the pending lookups are ""private"" and are made public only    after the DNS server responds.  The disadvantage is that we bother    the DNS server for parallel requests  but we wouldn't block all of    Squid's clients if one of those queries got stuck.     This patch also removes the ugliness of needing to ""rename"" stuck    queries after some timeout in order to try getting a fresh    response. "
3373	YES	"DW:  - My change to eliminate stdio from net_db.c sucked.  It leaked memory     and it had awkward buffer offset junk.  Its probably better to    use the logfile.c code  which unfortunately requires a change    to logfileOpen().  Previously the logfile code exited with    a fatal message if there was an error opening or writing the    file.  For netdb we don't care that much  so I added a ""fatal""    flag to logfileOpen(). "
3378	NO	Cleaned up RebuildState to show that the structure is fs-dependent 
3480	NO	indent 
3487	NO	Major rewrite of proxy authentication to support other schemes than Basic (auth_rewrite branch on SourceForge). Contributors:    Andy Doran    Robert Collins    Chemolli Francesco    Henrik Nordstrom  For details about the new API's  see Programmers Guide.  As part of this change everything from auth_modules has been moved to src/auth/basic/helpers 
3501	YES	match squid.h's varargs include logic to that in include/snprintf.h (Adrian  GNATS bug id 20) 
3565	NO	"auth_rewrite update:  Improved NTLMSSP debugging & reliability Clearer acl.c logic  catches boundary cases. ""Fail open"" configure option for NTLM to degrade gracefully Should fix the compile issues on Solaris 8  Rob & kinkie. "
3590	NO	SSL->HTTP gatewaying support by Benno Rice  Allows Squid in accelerator mode to listen for https requests as well as http requests. 
3593	NO	Ability to search for the user DN to log in as  Command line options for all configuration data. No longer any need to edit squid_ldap_auth.c  just specify the correct options from squid.conf.  Arguments:    -b basedn    -s searchscope    -f searchfilter    ldap_server_name  More documentation will be written later  explaining how to use the searchfilter and scope  with examples on how to use this to log in to Microsoft active directory. 
3598	NO	More LDAP options     -R
3610	NO	Added glue for OpenLDAP 2.x / Current Internet Draft API. The new API is unfortunately not backwards compatible with the old RFC1823 API. 
3638	YES	"Bugzilla #177  Joe Laffey points out that on LinuxPPC2000 (and probably QNX) calling something like vsnprintf() or similar leaves the ""args"" parameter unusable.  Calling it again with the same ""args"" results in a coredump. We have code to get around this in QNX by making a copy of the args and calling va_start() twice.  This patch tries to address the problem by splitting the _db_print() function into smaller parts  and passing the args as parameters to the separate _db_print_file  _db_print_stderr  and _db_print_syslog functions. "
3647	YES	Bugzilla #187: bugs in lib/base64.c  Possible buffer overrun and sign/unsigned conversion bugs. 
3730	YES	Make xcalloc() take size_t in both it's arguments. This to match the definition of calloc(). 
3740	NO	Converted to ANSI C 
3741	NO	ANSI:fied the SNMP functions  and removed some stale junk and some const cleanup 
3774	NO	"Wrap the Squid radix implementation with a ""squid_"" prefix to protect it from any collisions with system provided versions.. "
3780	YES	Restructured to dynamically allocate room for the nis password instead of relying on a local array that may get overflowed. 
3791	NO	Latest bugfixes from the NTLM development branch.  These include * A memory leak in the auth infrastructure. * Debugging and reliability fixes to the NTLMSSP helper. * The brand spanking new winbindd helper developed by Kinkie with input from   the SAMBA team. This helper should eliminate the occasional errors currently   plaguing NTLM with the NTLMSSP helper. It's included for completeness  as   it has no squid-internal changes  but the actual helper needs some serious   user bashing to be called stable. 
3809	NO	Large rewrite to support one-shot mode of operation (one user per PAM connection  no connection cache).  Have also added a man page describing it's use. 
3820	YES	Killed more unused code  just in case.. 
3828	YES	Fix a ftp URL buffer overflow  reported by Jouko Pynnonen 
3858	NO	 * Commit Andres Kroonmaa's chunked memory pool allocator * bootstrap 
3882	YES	Coding style cleanups to make GCC happy 
3914	YES	Rewrite of FTP directory parsing to strengthen against possible buffer overflows 
3915	YES	Cleanup of our Gopher client to protect from buffer overflows and to correct the functionality  plus some new pieces that was missing like the ability to deal with Gopher Info entries and WWW links 
3923	YES	Use FD_READ_METHOD rather than direcly calling read() 
3941	NO	Bugzilla #361: client -T opion was not implemented 
3944	NO	Oops.. syntax error when adding the -T client option 
3959	YES	Some rewriting inspired by suggestions of overflow bugs and other problems with this code.  denyusers.c and allowusers.c have a fair amount of nearly identical code. I moved these functions to a new file  called usersfile.[ch].  I didn't really want to add another source file  but....  The list of allowed/denied users were formerly stored as whitespace separated tokens in a single char buffer.  The code used strstr() to search for matches.  This was awkward because the search key had to be surrounded by space characters.  The new code uses and array of char buffers -- one for each name.  The new code uses qsort() and bsearch().  The old code was more robust with the input file.  You could put multiple names on a single line.  Due to the way the names were stored  it didn't matter.  The new code is less robust.  It requires one name per line  and no leading whitespace.  Names longer than NAMELEN are now truncated.  Added an openlog() call and Removed LOG_USER from syslog() calls.  No longer use scanf() in some places.  There is some weird logic about what to do if an allow/deny file does not exist  or exists but cannot be read  or was read once but cannot be read later.  I hope it still works the same.  replaced some strcpy() calls with memset() and strncpy().  Fixed a strange usage of ServerArray[] that started at index 1?  #ifdefd-out some debugging code that included fprintfs to stderr  but was apparently never called.  Rewrote some signal handling stuff to use sigaction() (and fall back to signal()) and removed calls to sigvec(). 
3963	YES	A bit of cleanups to make GCC happy  and removed some unused code. 
3972	NO	Patch by Guido to convert some more of the code to use FD_READ/WRITE_METHOD. Simplifies the WIN32 porting. 
3981	YES	Minor corrections to make GCC happy 
3983	NO	Cleaned up msnt_auth syslog events 
3985	NO	"From Guido:  Converted to ""UNIX"" format like the rest of the sources  Makefile.am corrections "
3988	NO	s/random/squid_random/ to ease the Win32 port 
3998	NO	Minor bugfix of the previous HTML cleanups 
4015	NO	Killed the remains of ALARM_UPDATES_TIME (--enable-time-hack) 
4025	NO	Bogzilla #401: Killed the remaining (unused) references to sys_nerr to increase portability (MaxOS 10.2) 
4054	NO	Version 2.3 
4074	NO	clientStreams  rationalising the client side logic to allow plugin output streams  and providing a simple interface to the store. See the programmers guide for details 
4089	NO	Client side refactoring - no functionality changes 
4121	NO	extract duplicate ufs code to ufscommon.c/h 
4126	NO	C++ conversion 
4131	NO	commloops from Adrian  C++ courtesy Rob 
4254	YES	"Small fix to get rid of compiler warning about unused ""searchbase"" "
4256	NO	allow Visual Studio to compile cf_gen 
4266	YES	apply unify io patch to simplify IO code for diskd/aufs/ufs 
4275	YES	"date: 2003/01/07 20:46:12;  author: wessels;  state: Exp;  lines: +2 -1 alan mccaig <alanmccaig@yahoo.co.uk> discovered a buffer overrun in 'squidclient'.  The simple fix is to use strncpy() instead of strcpy() and make sure the URL buffer is always terminated. "
4283	NO	extract async completion notification 
4294	NO	Cleanup of last nights changes for dots in hostnames. Now double dots are rejected rather than cleaned up  and leading dots is also rejected to produce a conforming experience on all types of DNS resolvers.  Trailing dots is normalized as before  but after append_domain to allow override of append_domain for top level domains (http://dk./) 
4297	NO	Import of fix-ranges branch 
4310	NO	Summary: Make aclCheck_t a class (ACLChecklist)  and hopefully fix bug 516. Keywords:  
