LOC_BLANK,BRANCH_COUNT,CALL_PAIRS,LOC_CODE_AND_COMMENT,LOC_COMMENTS,CONDITION_COUNT,CYCLOMATIC_COMPLEXITY,CYCLOMATIC_DENSITY,DECISION_COUNT,DECISION_DENSITY,DESIGN_COMPLEXITY,DESIGN_DENSITY,EDGE_COUNT,ESSENTIAL_COMPLEXITY,ESSENTIAL_DENSITY,LOC_EXECUTABLE,PARAMETER_COUNT,GLOBAL_DATA_COMPLEXITY,GLOBAL_DATA_DENSITY,HALSTEAD_CONTENT,HALSTEAD_DIFFICULTY,HALSTEAD_EFFORT,HALSTEAD_ERROR_EST,HALSTEAD_LENGTH,HALSTEAD_LEVEL,HALSTEAD_PROG_TIME,HALSTEAD_VOLUME,MAINTENANCE_SEVERITY,MODIFIED_CONDITION_COUNT,MULTIPLE_CONDITION_COUNT,NODE_COUNT,NORMALIZED_CYLOMATIC_COMPLEXITY,NUM_OPERANDS,NUM_OPERATORS,NUM_UNIQUE_OPERANDS,NUM_UNIQUE_OPERATORS,NUMBER_OF_LINES,PERCENT_COMMENTS,LOC_TOTAL,c
0,6,3,0,0,4,4,0.31,2,2.0,3,0.75,14,1,0,13,0,2,0.5,21.05,11.25,2664.41,0.08,51,0.09,148.02,236.84,0.25,1,2,12,0.29,15,36,10,15,14,0,13,FALSE
0,1,1,0,1,0,1,0.25,0,0,1,1,2,1,0,4,0,1,1,6.64,6,239.18,0.01,12,0.17,13.29,39.86,1,0,0,3,0.17,3,9,2,8,6,20,4,FALSE
0,1,1,0,0,0,1,0.33,0,0,1,1,2,1,0,3,0,1,1,8,3,72,0.01,8,0.33,4,24,1,0,0,3,0.25,2,6,2,6,4,0,3,FALSE
0,1,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,5.33,1.5,12,0,4,0.67,0.67,8,1,0,0,2,1,1,3,1,3,1,0,0,FALSE
6,18,17,0,1,28,10,0.15,14,2.0,9,0.9,68,1,0,67,0,7,0.7,65.16,27.99,51033.62,0.61,314,0.04,2835.2,1823.51,0.1,7,14,60,0.13,109,205,37,19,75,1.47,67,FALSE
1,7,1,0,0,12,4,0.31,6,2.0,4,1,16,1,0,13,0,4,1,16.11,13.71,3029.38,0.07,52,0.07,168.3,220.89,0.25,3,6,14,0.27,16,36,7,12,15,0,13,FALSE
0,1,1,0,0,0,1,0.5,0,0,1,1,2,1,0,2,0,1,1,6.2,2.5,38.77,0.01,6,0.4,2.15,15.51,1,0,0,3,0.33,1,5,1,5,3,0,2,FALSE
0,1,0,0,0,0,1,0.5,0,0,1,1,1,1,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0.33,0,1,0,1,3,0,2,FALSE
0,1,1,0,0,0,1,0.33,0,0,1,1,2,1,0,3,0,1,1,6.2,2.5,38.77,0.01,6,0.4,2.15,15.51,1,0,0,3,0.25,1,5,1,5,4,0,3,FALSE
0,1,0,0,0,0,1,0.33,0,0,1,1,1,1,0,3,0,1,1,6.2,2.5,38.77,0.01,6,0.4,2.15,15.51,1,0,0,2,0.25,1,5,1,5,4,0,3,FALSE
1,5,5,0,4,0,4,0.14,0,0,3,0.75,20,1,0,29,3,3,0.75,47.03,16.63,12999.77,0.26,149,0.06,722.21,781.94,0.25,0,0,18,0.11,57,92,24,14,38,12.12,29,FALSE
0,1,4,0,0,0,1,0.17,0,0,1,1,5,1,0,6,1,1,1,30.14,6.15,1141.33,0.06,41,0.16,63.41,185.47,1,0,0,6,0.14,16,25,13,10,7,0,6,TRUE
5,11,11,0,2,20,6,0.27,10,2.0,5,0.83,36,1,0,22,2,5,0.83,35.31,19.55,13490.6,0.23,128,0.05,749.48,690.22,0.17,5,10,32,0.19,43,85,22,20,31,8.33,22,FALSE
1,6,6,0,0,4,4,0.21,2,2.0,3,0.75,18,3,0.67,19,0,3,0.75,29.26,13.5,5332.5,0.13,79,0.07,296.25,395,0.75,1,2,16,0.18,27,52,16,16,22,0,19,FALSE
1,1,4,0,0,0,1,0.14,0,0,1,1,6,1,0,7,0,1,1,23.88,7.65,1397.36,0.06,43,0.13,77.63,182.66,1,0,0,7,0.11,17,26,10,9,9,0,7,FALSE
0,1,2,0,0,0,1,0.25,0,0,1,1,3,1,0,4,0,1,1,16.5,2,66,0.01,11,0.5,3.67,33,1,0,0,4,0.2,4,7,4,4,5,0,4,FALSE
0,1,0,0,0,0,1,0.33,0,0,1,1,1,1,0,3,1,1,1,3.62,5,90.47,0.01,7,0.2,5.03,18.09,1,0,0,2,0.25,2,5,1,5,4,0,3,FALSE
7,1,6,0,4,0,1,0.05,0,0,1,1,14,1,0,21,0,1,1,69.8,10.02,7011.39,0.23,144,0.1,389.52,699.55,1,0,0,15,0.03,63,81,22,7,33,16,21,FALSE
7,27,9,1,4,46,14,0.33,20,2.3,12,0.86,64,6,0.38,42,0,11,0.79,35.69,27.62,27226.57,0.33,184,0.04,1512.59,985.79,0.43,13,23,52,0.25,58,126,21,20,57,10.64,43,TRUE
1,5,3,0,0,8,3,0.25,4,2.0,3,1,13,1,0,12,1,3,1,26.16,9.23,2229.05,0.08,52,0.11,123.84,241.48,0.33,2,4,12,0.21,20,32,13,12,14,0,12,FALSE
0,1,0,0,0,0,1,0.25,0,0,1,1,1,1,0,4,0,0,0,9.47,2.67,67.38,0.01,9,0.38,3.74,25.27,1,0,0,2,0.2,4,5,3,4,5,0,4,FALSE
15,13,14,0,0,0,9,0.14,0,0,9,1,55,1,0,64,0,6,0.67,89.26,20.71,38301.26,0.62,317,0.05,2127.85,1849.03,0.11,0,0,48,0.11,116,201,42,15,80,0,64,FALSE
1,1,5,0,0,0,1,0.1,0,0,1,1,16,1,0,10,0,1,1,82.4,6.85,3871.09,0.19,114,0.15,215.06,564.78,1,0,0,17,0.08,47,67,24,7,13,0,10,FALSE
0,1,2,0,0,0,1,0.2,0,0,1,1,3,1,0,5,0,1,1,26.28,4.2,463.52,0.04,27,0.24,25.75,110.36,1,0,0,4,0.17,12,15,10,7,6,0,5,FALSE
24,45,36,1,8,58,25,0.21,24,2.42,23,0.92,150,8,0.29,117,0,23,0.92,142.73,32.85,154013.92,1.56,680,0.03,8556.33,4688.48,0.32,17,29,127,0.17,235,445,93,26,151,7.14,118,FALSE
1,1,4,0,0,0,1,0.2,0,0,1,1,5,1,0,5,0,1,1,25.02,5.5,756.84,0.05,33,0.18,42.05,137.61,1,0,0,6,0.13,11,22,9,9,8,0,5,FALSE
2,1,6,0,2,0,1,0.1,0,0,1,1,8,1,0,10,2,1,1,50.45,8.37,3534.13,0.14,83,0.12,196.34,422.26,1,0,0,9,0.06,35,48,23,11,16,16.67,10,FALSE
0,1,2,0,0,0,1,0.25,0,0,1,1,3,1,0,4,1,1,1,14.28,5.33,406.12,0.03,20,0.19,22.56,76.15,1,0,0,4,0.2,8,12,6,8,5,0,4,FALSE
0,1,0,0,0,0,1,0.33,0,0,1,1,1,1,0,3,0,1,1,5.33,1.5,12,0,4,0.67,0.67,8,1,0,0,2,0.25,1,3,1,3,4,0,3,FALSE
3,5,3,0,1,6,3,0.27,2,3.0,2,0.67,13,3,1,11,1,1,0.33,29.72,13.6,5496.65,0.13,85,0.07,305.37,404.17,1,2,3,12,0.19,34,51,15,12,16,8.33,11,FALSE
8,22,35,0,0,16,15,0.14,8,2.0,14,0.93,109,5,0.29,107,0,15,1,189.82,24.81,116852.98,1.57,675,0.04,6491.83,4709.66,0.33,4,8,96,0.13,263,412,106,20,118,0,107,TRUE
0,1,0,0,0,0,1,0.33,0,0,1,1,1,1,0,3,1,1,1,3.62,5,90.47,0.01,7,0.2,5.03,18.09,1,0,0,2,0.25,2,5,1,5,4,0,3,FALSE
0,4,3,0,0,0,3,0.27,0,0,2,0.67,10,1,0,11,0,2,0.67,17.22,9.29,1484.89,0.05,37,0.11,82.49,159.91,0.33,0,0,9,0.25,10,27,7,13,12,0,11,FALSE
0,1,2,0,0,0,1,0.25,0,0,1,1,3,1,0,4,0,0,0,11.86,4.38,227.03,0.02,15,0.23,12.61,51.89,1,0,0,4,0.2,5,10,4,7,5,0,4,FALSE
0,1,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,5.33,1.5,12,0,4,0.67,0.67,8,1,0,0,2,1,1,3,1,3,1,0,0,FALSE
2,7,5,0,2,0,5,0.2,0,0,4,0.8,23,1,0,25,0,4,0.8,38.54,15.17,8866.36,0.19,118,0.07,492.58,584.6,0.2,0,0,20,0.17,42,76,18,13,30,7.41,25,FALSE
7,12,7,0,3,4,8,0.17,2,2.0,6,0.75,44,1,0,48,0,6,0.75,63.66,24.16,37151.02,0.51,266,0.04,2063.94,1537.84,0.13,1,2,38,0.13,108,158,38,17,60,5.88,48,FALSE
0,1,0,0,0,0,1,0.33,0,0,1,1,1,1,0,3,1,1,1,3.62,5,90.47,0.01,7,0.2,5.03,18.09,1,0,0,2,0.25,2,5,1,5,4,0,3,FALSE
0,3,3,0,0,4,2,0.22,2,2.0,2,1,8,1,0,9,1,2,1,17.88,9.33,1557.81,0.06,38,0.11,86.54,166.91,0.5,1,2,8,0.2,14,24,9,12,10,0,9,FALSE
0,1,2,0,0,0,1,0.2,0,0,1,1,3,1,0,5,0,1,1,26.28,4.2,463.52,0.04,27,0.24,25.75,110.36,1,0,0,4,0.17,12,15,10,7,6,0,5,FALSE
8,16,13,0,9,20,10,0.22,10,2.0,8,0.8,56,1,0,46,2,7,0.7,65.15,27.14,47999.33,0.59,297,0.04,2666.63,1768.4,0.1,5,10,48,0.15,114,183,42,20,65,16.36,46,FALSE
0,1,0,0,0,0,1,0.33,0,0,1,1,1,1,0,3,1,1,1,3.62,5,90.47,0.01,7,0.2,5.03,18.09,1,0,0,2,0.25,2,5,1,5,4,0,3,FALSE
0,1,0,0,0,0,1,0.25,0,0,1,1,1,1,0,4,0,1,1,7.3,5,182.48,0.01,13,0.2,10.14,36.5,1,0,0,2,0.2,4,9,2,5,5,0,4,FALSE
0,1,1,0,0,0,1,0.33,0,0,1,1,2,1,0,3,0,1,1,8,3,72,0.01,8,0.33,4,24,1,0,0,3,0.25,2,6,2,6,4,0,3,FALSE
12,11,13,0,0,8,7,0.13,4,2.0,5,0.71,42,4,0.5,54,2,4,0.57,88.12,18.17,29080.61,0.53,271,0.06,1615.59,1600.77,0.57,2,4,37,0.1,109,162,45,15,67,0,54,FALSE
0,3,3,0,0,4,2,0.5,2,2.0,2,1,9,1,0,4,0,1,0.5,19.46,3.5,238.4,0.02,19,0.29,13.24,68.11,0.5,1,2,9,0.4,5,14,5,7,5,0,4,FALSE
0,1,0,0,0,0,1,0.33,0,0,1,1,1,1,0,3,0,1,1,5.33,1.5,12,0,4,0.67,0.67,8,1,0,0,2,0.25,1,3,1,3,4,0,3,FALSE
0,3,6,0,0,4,2,0.13,2,2.0,2,1,12,1,0,16,2,2,1,27.13,15.06,6152.97,0.14,81,0.07,341.83,408.6,0.5,1,2,12,0.12,32,49,17,16,17,0,16,FALSE
0,1,1,0,0,0,1,0.33,0,0,1,1,2,1,0,3,0,1,1,8,3,72,0.01,8,0.33,4,24,1,0,0,3,0.25,2,6,2,6,4,0,3,FALSE
0,1,0,0,0,0,1,0.33,0,0,1,1,1,1,0,3,0,1,1,5.33,1.5,12,0,4,0.67,0.67,8,1,0,0,2,0.25,1,3,1,3,4,0,3,FALSE
1,9,6,0,1,4,6,0.21,2,2.0,4,0.67,26,1,0,28,0,4,0.67,52.27,12.46,8112.64,0.22,125,0.08,450.7,651.18,0.17,1,2,22,0.19,46,79,24,13,32,3.45,28,FALSE
0,3,4,0,0,4,2,0.25,2,2.0,2,1,9,1,0,8,2,2,1,20.81,9,1685.67,0.06,42,0.11,93.65,187.3,0.5,1,2,9,0.22,15,27,10,12,9,0,8,FALSE
0,1,0,0,0,0,1,0.33,0,0,1,1,1,1,0,3,0,1,1,5.33,1.5,12,0,4,0.67,0.67,8,1,0,0,2,0.25,1,3,1,3,4,0,3,FALSE
0,1,2,0,0,0,1,0.33,0,0,1,1,3,1,0,3,1,1,1,15.81,3.5,193.73,0.02,16,0.29,10.76,55.35,1,0,0,4,0.25,4,12,4,7,4,0,3,FALSE
15,19,14,1,8,34,10,0.15,16,2.13,9,0.9,70,4,0.33,64,2,7,0.7,59.77,42.39,107406.67,0.84,412,0.02,5967.04,2533.7,0.4,9,17,62,0.11,156,256,46,25,89,12.33,65,FALSE
0,1,0,0,1,0,1,0.5,0,0,1,1,1,1,0,2,1,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0.25,0,1,0,1,4,33.33,2,FALSE
0,1,1,0,0,0,1,1,0,0,1,1,2,1,0,0,0,1,1,8,3,72,0.01,8,0.33,4,24,1,0,0,3,1,2,6,2,6,1,0,0,FALSE
0,1,5,0,0,0,1,0.14,0,0,1,1,6,1,0,7,2,1,1,28.59,6.95,1382.62,0.07,46,0.14,76.81,198.81,1,0,0,7,0.13,17,29,11,9,8,0,7,FALSE
0,1,2,0,0,0,1,0.33,0,0,1,1,3,1,0,3,0,1,1,9.96,3.5,122.04,0.01,11,0.29,6.78,34.87,1,0,0,4,0.25,2,9,2,7,4,0,3,FALSE
0,1,1,0,0,0,1,1,0,0,1,1,2,1,0,0,1,1,1,9.51,3,85.59,0.01,9,0.33,4.75,28.53,1,0,0,3,1,3,6,3,6,1,0,0,FALSE
0,1,2,0,0,0,1,0.13,0,0,1,1,3,1,0,8,0,1,1,22.42,7.11,1133.59,0.05,39,0.14,62.98,159.41,1,0,0,4,0.11,16,23,9,8,9,0,8,TRUE
1,1,2,0,0,0,1,0.2,0,0,1,1,3,1,0,5,2,1,1,14.99,5.33,426.42,0.03,21,0.19,23.69,79.95,1,0,0,4,0.14,8,13,6,8,7,0,5,FALSE
0,1,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,1,0,1,0,1,1,0,0,FALSE
0,1,0,0,0,0,1,0.33,0,0,1,1,1,1,0,3,0,1,1,6.2,2.5,38.77,0.01,6,0.4,2.15,15.51,1,0,0,2,0.25,1,5,1,5,4,0,3,FALSE
7,9,20,1,0,16,5,0.1,8,2.0,5,1,49,3,0.5,47,0,4,0.8,90.12,19.38,33861.93,0.58,285,0.05,1881.22,1746.85,0.6,4,8,46,0.09,112,173,52,18,56,2.08,48,TRUE
0,3,6,0,0,4,2,0.18,2,2.0,2,1,14,1,0,11,0,1,0.5,35.16,8.21,2372.72,0.1,63,0.12,131.82,288.85,0.5,1,2,14,0.17,23,40,14,10,12,0,11,FALSE
1,4,4,0,0,0,3,0.21,0,0,2,0.67,14,1,0,14,0,2,0.67,34.67,9.6,3195.28,0.11,70,0.1,177.52,332.84,0.33,0,0,13,0.19,24,46,15,12,16,0,14,FALSE
